السؤال,الخيار1,الخيار2,الخيار3,الإجابة الصحيحة
ما هي عاصمة فرنسا؟,مدريد,لندن,باريس,3
ما هو أكبر كوكب في المجموعة الشمسية؟,الأرض,المشتري,المريخ,2
من هو مخترع المصباح الكهربائي؟,نيكولا تسلا,توماس إديسون,ألكسندر غراهام بيل,2
كم عدد قارات العالم؟,6,7,8,2
ما هي أطول لغة برمجة؟,بايثون,جافا سكريبت,كوبول,3
ما هي عاصمة اليابان؟,بكين,طوكيو,سول,2
ما هو أقدم هرم في مصر؟,الهرم الأكبر,هرم زوسر المدرج,هرم خفرع,2
ما هي أكبر دولة في العالم من حيث المساحة؟,روسيا,كندا,الصين,1
ما هو العنصر الأكثر وفرة في قشرة الأرض؟,الأكسجين,الحديد,السيليكون,1
من هو قائد ثورة الاستقلال الأمريكية؟,جورج واشنطن,بنيامين فرانكلين,جون آدامز,1